Album,Song,Year,Total_Streams,Daily,BestEmotion,joy,sadness,love,anger,surprise,fear
Red,22,2012.0,130087437,312319,joy,0.998620867729187,0.0004795921850018203,0.00044240837451070547,0.00017495312204118818,0.00015469979553017765,0.0001273886882700026
Lover,Afterglow,2019.0,235997756,449807,sadness,0.0009172376012429595,0.9965416789054871,0.0006386804161593318,0.0013735332759097219,0.00020054237393196672,0.0003283759579062462
Lover,AllOfTheGirlsYouLovedBefore,2019.0,132796837,1050336,sadness,0.00023312889970839024,0.9990308284759521,0.00015892977535258979,0.0002053513308055699,0.00011326829553581774,0.0002586047339718789
Red,AllTooWell,2012.0,223370629,75493,joy,0.8050225377082825,0.17613226175308228,0.007309562526643276,0.005211871583014727,0.0021533998660743237,0.004170392174273729
Red,AllTooWell10MinuteVersion,2012.0,8120812,18554,joy,0.590260922908783,0.3317956030368805,0.015552325174212456,0.026483474299311638,0.004898995626717806,0.031008703634142876
1989,AllYouHadtoDoWasStay,2014.0,168559318,184627,joy,0.5151157379150391,0.13982036709785461,0.019635682925581932,0.2888360917568207,0.004103413317352533,0.03248868137598038
Midnights,AntiHero,2022.0,12258351,29742,joy,0.9843935370445251,0.0008447917643934488,0.012781419791281223,0.0005222649779170752,0.000978544820100069,0.00047941316734068096
TaylorSwift,APerfectlyGoodHeart,2006.0,16846100,23619,joy,0.9975860118865967,0.0008425487903878093,0.0006261783419176936,0.0004636144731193781,0.00021759998344350606,0.00026412642910145223
TaylorSwift,APlaceInThisWorld,2006.0,27619389,38850,sadness,0.06802196800708771,0.9193388819694519,0.0028927770908921957,0.003027471248060465,0.0005627117934636772,0.006156249903142452
Folklore,august,2020.0,539984669,1002473,sadness,0.000847095565404743,0.9960368275642395,0.00037080628680996597,0.0013594409683719277,0.00022693537175655365,0.0011590409558266401
SpeakNow,BacktoDecember,2010.0,301954570,467810,sadness,0.029083507135510445,0.9585673809051514,0.00269402377307415,0.006787261459976435,0.0007259175763465464,0.002141847275197506
1989,BadBlood,2014.0,423517516,593247,joy,0.5856610536575317,0.1567172408103943,0.014369403943419456,0.21801121532917023,0.004676850512623787,0.02056420035660267
Red,BeginAgain,2012.0,113240855,43423,surprise,0.0021971354726701975,0.0021468326449394226,0.0011882547987625003,0.0011757054599002004,0.9131695032119751,0.08012253046035767
Midnights,Bejeweled,2022.0,284042733,926232,joy,0.8120125532150269,0.044274911284446716,0.01293656975030899,0.10455812513828278,0.006225862540304661,0.01999197155237198
SpeakNow,BetterThanRevenge,2010.0,146903835,274237,anger,0.06330536305904388,0.05178792402148247,0.0037931983824819326,0.8408719897270203,0.0021129411179572344,0.03812859579920769
Folklore,betty,2020.0,228639083,263177,joy,0.9636471271514893,0.020734388381242752,0.00937850121408701,0.0033810390159487724,0.0011045333230867982,0.0017545317532494664
1989,BlankSpace,2014.0,1241540274,1718554,anger,0.09664564579725266,0.1594739407300949,0.005644602235406637,0.5460993051528931,0.012655130587518215,0.17948143184185028
Fearless,Breathe,2008.0,63171548,16971,sadness,0.03578806668519974,0.9518492817878723,0.005328341852873564,0.005223885178565979,0.000656801275908947,0.0011536377714946866
Reputation,CallItWhatYouWant,2017.0,268193674,281408,joy,0.7501469850540161,0.06768859922885895,0.06317724287509918,0.09768419712781906,0.0041747624054551125,0.01712818816304207
Folklore,cardigan,2020.0,716111142,1630815,love,0.013693583197891712,0.004039593506604433,0.9778391122817993,0.0011303300270810723,0.0014582346193492413,0.0018390687182545662
Evermore,champagneproblems,2020.0,391042252,546040,joy,0.8570004105567932,0.022250700742006302,0.008001979440450668,0.02580263838171959,0.07877432554960251,0.008169938810169697
Fearless,Change,2008.0,24292564,9764,anger,0.12092851102352142,0.04494505748152733,0.015657540410757065,0.6637802720069885,0.004217433277517557,0.15047115087509155
1989,Clean,2014.0,144362800,188813,joy,0.7573778033256531,0.21472254395484924,0.006951507180929184,0.015903552994132042,0.0017388657433912158,0.0033058396074920893
Evermore,closure,2020.0,83943105,73968,joy,0.6650453209877014,0.25836965441703796,0.019362667575478554,0.042639125138521194,0.0019812583923339844,0.012601971626281738
TaylorSwift,ColdasYou,2006.0,28751181,40213,sadness,0.0034901851322501898,0.9762638807296753,0.006792372092604637,0.011786511167883873,0.0003894663823302835,0.0012774557108059525
Red,ComeBackBeHere,2012.0,39557167,10773,love,0.007144748233258724,0.007543353829532862,0.9791867733001709,0.0010845469078049064,0.0019946147222071886,0.0030459498520940542
Evermore,coneyisland,2020.0,123721042,119154,love,0.08847066760063171,0.13906534016132355,0.7271876335144043,0.03272083401679993,0.004162106662988663,0.008393466472625732
Lover,CorneliaStreet,2019.0,203763706,412542,fear,0.00038823808426968753,0.0005791555740870535,0.00017603985907044262,0.0009287280263379216,0.000666771549731493,0.9972610473632812
Evermore,cowboylikeme,2020.0,119229240,129932,joy,0.8587689399719238,0.024917202070355415,0.02126532793045044,0.0851031020283699,0.003009681822732091,0.006935645826160908
Lover,CruelSummer,2019.0,599197028,2214267,joy,0.7588632702827454,0.15337629616260529,0.0268508680164814,0.04870006814599037,0.003848879598081112,0.008360752835869789
Reputation,DancingWithOurHandsTied,2017.0,164653189,191491,joy,0.7051932215690613,0.09690817445516586,0.06601430475711823,0.05763579159975052,0.006341272033751011,0.06790733337402344
Lover,Daylight,2019.0,168416443,625777,anger,0.011607770808041096,0.022602228447794914,0.0031177035998553038,0.9249523878097534,0.0006685880944132805,0.037051234394311905
SpeakNow,DearJohn,2010.0,118024714,205950,sadness,0.014971080236136913,0.8242120146751404,0.002918815240263939,0.13549235463142395,0.0012554021086543798,0.021150270476937294
Lover,DeathbyaThousandCuts,2019.0,187629347,283428,anger,0.07839727401733398,0.35260510444641113,0.003260149620473385,0.5025247931480408,0.0035205150488764048,0.05969211459159851
Reputation,Delicate,2017.0,696988204,559856,love,0.003148934803903103,0.0014452176401391625,0.9920165538787842,0.0005210790550336242,0.0013391711981967092,0.0015290759038180113
Reputation,DontBlameMe,2017.0,605616062,1241703,joy,0.5080123543739319,0.18033885955810547,0.12846355140209198,0.11805512011051178,0.0111453328281641,0.05398481711745262
Evermore,dorothea,2020.0,113781122,124294,joy,0.9884142875671387,0.007029494270682335,0.0015261243097484112,0.001786425826139748,0.000521642854437232,0.0007220859406515956
Reputation,Dress,2017.0,181407724,289011,joy,0.8583829402923584,0.06339965015649796,0.012055967003107071,0.04427824914455414,0.004572576377540827,0.01731060817837715
SpeakNow,Enchanted,2010.0,536112414,1528131,joy,0.9860012531280518,0.0016371113015338778,0.00466128159314394,0.0010688803158700466,0.005192418582737446,0.001438903738744557
Reputation,EndGame,2017.0,365609447,254372,joy,0.7576808333396912,0.07201118022203445,0.02252926491200924,0.11185486614704132,0.0054781208746135235,0.03044566884636879
Folklore,epiphany,2020.0,130537483,108424,fear,0.13926883041858673,0.23178215324878693,0.0035280303563922644,0.06758008152246475,0.0063572898507118225,0.5514835715293884
Evermore,evermore,2020.0,140815341,127298,surprise,0.0032686209306120872,0.004758945666253567,0.0013191449688747525,0.001120850327424705,0.8273098468780518,0.16222263872623444
Red,EverythingHasChanged,2012.0,248075320,87137,joy,0.884641706943512,0.0904969871044159,0.01932920701801777,0.002850343007594347,0.0012202728539705276,0.0014615433756262064
Folklore,exile,2020.0,539307630,402285,anger,0.05755385756492615,0.05609986186027527,0.003805706975981593,0.8621535897254944,0.0018635805463418365,0.018523411825299263
Red,EyesOpen,2012.0,13820630,112330,joy,0.994890570640564,0.0016492875292897224,0.0019392755348235369,0.0007025462691672146,0.00041583090205676854,0.00040253333281725645
Lover,FalseGod,2019.0,142935833,264990,sadness,0.08902615308761597,0.8188959360122681,0.01115720346570015,0.03655088320374489,0.0019064164953306317,0.04246339574456215
Fearless,Fearless,2008.0,101494148,317670,joy,0.996904194355011,0.001005750149488449,0.0006817217799834907,0.000737546244636178,0.00022399068984668702,0.0004468975530471653
Fearless,Fifteen,2008.0,101109211,50524,joy,0.9918192625045776,0.0021358251105993986,0.0021340148523449898,0.0026561410631984472,0.0005253665149211884,0.0007295295945368707
Fearless,ForeverAndAlways,2008.0,48766142,18774,joy,0.9973184466362,0.0008993173250928521,0.0011814889730885625,0.0002284106012666598,0.0001737439160933718,0.00019860579050146043
Reputation,GetawayCar,2017.0,376787111,754854,anger,0.05425894632935524,0.30989140272140503,0.016236411407589912,0.45154038071632385,0.007061006501317024,0.16101187467575073
Red,GirlatHome,2012.0,21809222,4172,joy,0.9921405911445618,0.0027141335885971785,0.0014942456036806107,0.002285041380673647,0.000566716946195811,0.0007993354229256511
Evermore,goldrush,2020.0,198886018,197471,joy,0.6168860793113708,0.0056822397746145725,0.36852332949638367,0.0018759691156446934,0.0042173778638243675,0.0028149778954684734
Reputation,Gorgeous,2017.0,413617297,497273,joy,0.9799787402153015,0.01083417795598507,0.003145652823150158,0.0040635839104652405,0.001290915417484939,0.000687051098793745
Evermore,happiness,2020.0,128822765,111392,sadness,0.08953198045492172,0.8525185585021973,0.03277558833360672,0.00976763665676117,0.0029296663124114275,0.01247657835483551
SpeakNow,Haunted,2010.0,81872746,159366,sadness,0.009182530455291271,0.812029242515564,0.0023870563600212336,0.004817957058548927,0.0031270377803593874,0.16845613718032837
Fearless,HeyStephen,2008.0,44492225,17753,joy,0.9728236794471741,0.006051706150174141,0.0020511047914624214,0.006224657874554396,0.003037775633856654,0.009810905903577805
Folklore,hoax,2020.0,128212404,118774,sadness,0.020465774461627007,0.8983880877494812,0.007847964763641357,0.04224260896444321,0.0010915331076830626,0.029964035376906395
Red,HolyGround,2012.0,51215988,12789,joy,0.9685497879981995,0.017015330493450165,0.004727765917778015,0.007203920278698206,0.000745339144486934,0.0017579069826751947
1989,HowYouGetTheGirl,2014.0,121914366,178921,sadness,0.0003461037704255432,0.998689591884613,0.0002500797272659838,0.00026289865490980446,0.0001352470862912014,0.00031605627737008035
Red,IAlmostDo,2012.0,58523119,13049,sadness,0.13972395658493042,0.7132998704910278,0.006882009096443653,0.10498468577861786,0.0020368981640785933,0.03307270631194115
Reputation,IDidSomethingBad,2017.0,295102052,292119,joy,0.9985998272895813,0.0004479055351112038,0.0003921515017282218,0.0001568048173794523,0.0002404967526672408,0.00016280835552606732
Lover,IForgotThatYouExisted,2019.0,263261636,189297,joy,0.9916506409645081,0.0045085749588906765,0.0011009956942871213,0.0013679154217243195,0.0007908514235168695,0.0005809247959405184
Fearless,IfThisWasaMovie,2008.0,20147471,179991,sadness,0.0010390708921477199,0.996235191822052,0.0003089512756559998,0.001906811841763556,0.00017042149556800723,0.00033967936178669333
Red,IKnewYouWereTrouble,2012.0,167233377,414081,anger,0.01892787590622902,0.04586649313569069,0.06001700460910797,0.8613941073417664,0.0027077735867351294,0.011086851358413696
1989,IKnowPlaces,2014.0,100180438,114007,joy,0.982975423336029,0.005404787138104439,0.006004657130688429,0.0026552763301879168,0.0011968131875619292,0.0017631257651373744
Folklore,illicitaffairs,2020.0,223571809,340920,anger,0.02159276232123375,0.11748772859573364,0.00638639135286212,0.5636067986488342,0.002503093332052231,0.28842321038246155
TaylorSwift,ImOnlyMeWhenImWithYou,2006.0,34851883,42979,joy,0.9985460042953491,0.00030139071168377995,0.0006594021106138825,0.00018679111963137984,0.0001700885477475822,0.0001362717302981764
SpeakNow,Innocent,2010.0,44196652,63561,joy,0.997684121131897,0.0008270645630545914,0.0007170163444243371,0.00030990084633231163,0.00024183648929465562,0.00021997046133037657
TaylorSwift,Invisible,2006.0,24215225,29831,joy,0.9971343278884888,0.0008239984745159745,0.00103296700399369,0.0002697708550840616,0.000515128718689084,0.0002236980217276141
Folklore,invisiblestring,2020.0,227830385,267278,joy,0.7889702916145325,0.010493556037545204,0.009707225486636162,0.012025242671370506,0.08418037742376328,0.09462328255176544
Lover,IThinkHeKnows,2019.0,184253323,238395,joy,0.9378851652145386,0.033923693001270294,0.014138208702206612,0.009682965464890003,0.0015071684028953314,0.002862825058400631
Lover,ItsNicetoHaveaFriend,2019.0,93576473,99685,sadness,0.008836738765239716,0.5725382566452026,0.0023526663426309824,0.41051623225212097,0.000554596830625087,0.005201634950935841
Evermore,ivy,2020.0,143937685,137859,sadness,0.09322382509708405,0.5955861806869507,0.006137073040008545,0.26417967677116394,0.002798962639644742,0.038074295967817307
1989,IWishYouWould,2014.0,106551368,177354,anger,0.10660748928785324,0.2747189402580261,0.013359174132347107,0.5795115828514099,0.003759552724659443,0.02204323001205921
Midnights,Karma,2022.0,313149678,1520309,anger,0.18818506598472595,0.06932613998651505,0.0308539979159832,0.691529393196106,0.002328414935618639,0.01777699962258339
Reputation,KingofMyHeart,2017.0,167982468,225035,joy,0.8806930184364319,0.04590637609362602,0.03846171125769615,0.023968379944562912,0.0028030313551425934,0.00816749595105648
Midnights,Labyrinth,2022.0,168771867,494354,joy,0.8844027519226074,0.05862871930003166,0.013585344888269901,0.026682667434215546,0.0021893579978495836,0.014511064626276493
SpeakNow,LastKiss,2010.0,102301979,161172,joy,0.9930455088615417,0.0013523943489417434,0.004632165189832449,0.0004289876378607005,0.0002820303197950125,0.00025890552205964923
Midnights,LavenderHaze,2022.0,428437353,1347899,love,0.26361626386642456,0.04948568716645241,0.37283360958099365,0.013703729957342148,0.036996595561504364,0.26336413621902466
Lover,LondonBoy,2019.0,207253167,289683,joy,0.7675190567970276,0.0714511126279831,0.04010998457670212,0.07316717505455017,0.013758515007793903,0.033994175493717194
SpeakNow,LongLive,2010.0,81060658,141712,anger,0.014398227445781231,0.02451062574982643,0.001901755458675325,0.7052630186080933,0.0027530111838132143,0.2511734068393707
Evermore,longstoryshort,2020.0,133667299,142449,sadness,0.006891798228025436,0.9810159802436829,0.0009048196952790022,0.0033389325253665447,0.0005621856544166803,0.00728630879893899
Reputation,LookWhatYouMadeMeDo,2017.0,863141693,535102,sadness,0.25710511207580566,0.6475282311439514,0.004323900211602449,0.08139851689338684,0.002241340931504965,0.007402879185974598
Lover,Lover,2019.0,808897323,1035997,fear,0.0009963494958356023,0.0004694831441156566,0.0003875525144394487,0.0032544443383812904,0.0013198021333664656,0.9935723543167114
Fearless,LoveStory,2008.0,706899206,489675,sadness,0.0004368899390101433,0.997866690158844,0.00022426660871133208,0.00028527461108751595,0.0001496201875852421,0.0010372692486271262
Folklore,madwoman,2020.0,147565507,131935,anger,0.00037122544017620385,0.000747836718801409,0.00019656926451716572,0.997793436050415,0.00016624981071799994,0.000724676123354584
Evermore,marjorie,2020.0,115502552,186432,sadness,0.20801137387752533,0.4529447853565216,0.00799945741891861,0.3182283639907837,0.0035314687993377447,0.00928458571434021
Midnights,Maroon,2022.0,284042550,871977,anger,0.0031608520075678825,0.04472661763429642,0.0015120299067348242,0.8974305391311646,0.0009592046844772995,0.05221082270145416
TaylorSwift,MarysSongOhMyMyMy,2006.0,30297553,38224,joy,0.9080042243003845,0.017428891733288765,0.007703978568315506,0.04909348487854004,0.001784597523510456,0.01598484441637993
Midnights,Mastermind,2022.0,191602536,586750,joy,0.9592673778533936,0.019183708354830742,0.0025643783155828714,0.013141386210918427,0.0017590811476111412,0.004084003157913685
Lover,ME,2019.0,734412057,295807,joy,0.9965355396270752,0.0007404686766676605,0.0010720337741076946,0.000921006256248802,0.00041070664883591235,0.0003202847728971392
SpeakNow,Mean,2010.0,195161631,204045,sadness,0.00952968094497919,0.9854565262794495,0.00176511169411242,0.0016613409388810396,0.0003522232873365283,0.0012351378099992871
Midnights,MidnightRain,2022.0,377664638,1172198,joy,0.6564151644706726,0.2846145033836365,0.022638706490397453,0.021834958344697952,0.0020912010222673416,0.012405427172780037
SpeakNow,Mine,2010.0,187779666,214925,anger,0.025967920199036598,0.42536163330078125,0.0023918801452964544,0.5135197639465332,0.0013523411471396685,0.03140648454427719
Folklore,mirrorball,2020.0,252113465,394460,sadness,0.0013449701946228743,0.9924820065498352,0.0005135787650942802,0.0006911313976161182,0.0007419464527629316,0.004226294811815023
Lover,MissAmericanaTheHeartbreakPrince,2019.0,189176235,422937,sadness,0.0004102436942048371,0.9971585273742676,0.00037898411392234266,0.00022131239529699087,0.00030835942015983164,0.0015226311516016722
Folklore,mytearsricochet,2020.0,288119194,397857,sadness,0.016889948397874832,0.79266357421875,0.0073258159682154655,0.04182114452123642,0.003173384116962552,0.13812614977359772
SpeakNow,NeverGrowUp,2010.0,71551233,90973,sadness,0.2589450776576996,0.49986907839775085,0.12128069996833801,0.0695289745926857,0.031102007254958153,0.019274160265922546
Reputation,NewYearsDay,2017.0,126590222,126609,fear,0.0019238240784034133,0.02371198683977127,0.0004176152287982404,0.002969539724290371,0.0009508799994364381,0.9700261950492859
Evermore,nobodynocrime,2020.0,189241164,159653,sadness,0.12922483682632446,0.6709879040718079,0.005972062703222036,0.07162655889987946,0.004199950024485588,0.117988720536232
TaylorSwift,OurSong,2006.0,218444358,345508,anger,0.2011318951845169,0.2566218674182892,0.007766536436975002,0.2866450548171997,0.005645988043397665,0.24218866229057312
1989,OutOfTheWoods,2014.0,242778244,321909,joy,0.8762463927268982,0.03999194875359535,0.004561209585517645,0.060829032212495804,0.0033471030183136463,0.015024305321276188
Lover,PaperRings,2019.0,403940152,672413,anger,0.05959983542561531,0.2625032961368561,0.028105370700359344,0.6394578814506531,0.004059597384184599,0.006274054758250713
Folklore,peace,2020.0,143560492,135431,sadness,0.36968740820884705,0.3897666931152344,0.09335102885961533,0.0992300882935524,0.006099977530539036,0.041864801198244095
TaylorSwift,PicturetoBurn,2006.0,128421269,200775,anger,0.004380286671221256,0.1516696959733963,0.0017287539085373282,0.6259299516677856,0.0009686524281278253,0.21532268822193146
Midnights,Question,2022.0,202145611,553732,joy,0.7249603271484375,0.057993821799755096,0.045247212052345276,0.1415550708770752,0.005005945917218924,0.025237685069441795
Reputation,ReadyforIt,2017.0,483616357,419345,joy,0.6250337362289429,0.30914539098739624,0.02468547224998474,0.01592082902789116,0.004496220964938402,0.020718364045023918
Red,Red,2012.0,222212279,142939,sadness,0.033181920647621155,0.8773002624511719,0.07973771542310715,0.0032658337149769068,0.00160062569193542,0.004913683515042067
Red,SadBeautifulTragic,2012.0,37509432,8049,joy,0.6964942216873169,0.051401980221271515,0.24275252223014832,0.00576808862388134,0.001498223515227437,0.0020849648863077164
Red,SafeAndSound,2012.0,"213,348,605","51,783",sadness,0.08793255686759949,0.8399440050125122,0.007709207478910685,0.03712661191821098,0.0008854623883962631,0.026402166113257408
Folklore,seven,2020.0,198487771,190577,fear,0.004058050457388163,0.025023311376571655,0.0009127127123065293,0.0018780248938128352,0.006216374225914478,0.9619114995002747
1989,ShakeItOff,2014.0,1049060411,1042647,joy,0.6749985814094543,0.22799460589885712,0.013208053074777126,0.061708446592092514,0.005461039487272501,0.01662926934659481
TaylorSwift,ShouldveSaidNo,2006.0,84368461,115683,joy,0.9581353068351746,0.022700553759932518,0.01186495553702116,0.004899767693132162,0.0007744792383164167,0.0016250370535999537
Midnights,SnowOnTheBeach,2022.0,293862425,880640,sadness,0.0046169995330274105,0.7492047548294067,0.002371578710153699,0.19349640607833862,0.001149674761109054,0.049160514026880264
Reputation,SoItGoes,2017.0,115645290,129139,joy,0.4875708222389221,0.19037488102912903,0.014018489047884941,0.2875831127166748,0.0035131536424160004,0.016939491033554077
Lover,SoonYoullGetBetter,2019.0,104953178,101270,joy,0.9621842503547668,0.016882222145795822,0.00225478271022439,0.012775243259966373,0.0005866946303285658,0.00531683349981904
SpeakNow,SparksFly,2010.0,147511586,236956,joy,0.8129604458808899,0.09022130072116852,0.008775497786700726,0.07663975656032562,0.0017403438687324524,0.009662649594247341
SpeakNow,SpeakNow,2010.0,112339836,244891,anger,0.03698863089084625,0.08070021122694016,0.23057225346565247,0.5843762755393982,0.006168730091303587,0.06119393929839134
Red,Starlight,2012.0,40854169,9225,joy,0.9640476703643799,0.0032166868913918734,0.0012090516975149512,0.0012683066306635737,0.027234358713030815,0.003023998811841011
Red,StateofGrace,2012.0,57190047,13712,sadness,0.3722708821296692,0.530624270439148,0.04412786290049553,0.04578205570578575,0.0018423302099108696,0.005352627951651812
TaylorSwift,StayBeautiful,2006.0,24252618,27719,joy,0.8164498805999756,0.008395104669034481,0.1645948439836502,0.0012075412087142467,0.007598107680678368,0.0017545624868944287
Red,StayStayStay,2012.0,53696015,13106,love,0.042568739503622055,0.01986035518348217,0.6492549180984497,0.051640599966049194,0.22292526066303253,0.013750173151493073
1989,Style,2014.0,677473988,1606181,joy,0.9682029485702515,0.011786517687141895,0.0034255837090313435,0.011818449944257736,0.0014749004039913416,0.0032915691845119
Midnights,SweetNothing,2022.0,166874192,498981,love,0.09124939888715744,0.03927309811115265,0.7841529846191406,0.06286406517028809,0.004345253575593233,0.018115302547812462
TaylorSwift,TeardropsOnMyGuitar,2006.0,12603819,3156,joy,0.8999606370925903,0.08835523575544357,0.004534548614174128,0.003056465182453394,0.0021889344789087772,0.0019041785271838307
Fearless,TellMeWhy,2008.0,28379914,11082,sadness,0.001763559179380536,0.97081458568573,0.001054271124303341,0.0013600450474768877,0.001212629722431302,0.02379477024078369
Folklore,the1,2020.0,378531137,448629,joy,0.9960551261901855,0.001445104251615703,0.0012202123180031776,0.0007752662058919668,0.00023218638671096414,0.00027230981504544616
Lover,TheArcher,2019.0,233058569,343922,joy,0.9961244463920593,0.001547980704344809,0.0009431021753698587,0.0006385993328876793,0.00039363905671052635,0.0003522540791891515
Fearless,TheBestDay,2008.0,35504206,14985,fear,0.2403481900691986,0.02549930103123188,0.006464814301580191,0.008546903729438782,0.0025991122238337994,0.7165417075157166
Folklore,thelastgreatamericandynasty,2020.0,237681708,256904,joy,0.9929530024528503,0.0017284118803218007,0.0007692357175983489,0.0007041033823043108,0.003333569969981909,0.0005117690307088196
Red,TheLastTime,2012.0,67870858,98154,joy,0.9971617460250854,0.0008291129488497972,0.001317432033829391,0.00030190718825906515,0.00018928288773167878,0.0002005011192522943
Red,TheLuckyOne,2012.0,41322965,9310,joy,0.9929861426353455,0.003593165660277009,0.0019620282109826803,0.0007982919923961163,0.0003643741656560451,0.0002958888071589172
Lover,TheMan,2019.0,481449240,580877,joy,0.9284604787826538,0.015417017973959446,0.0023874302860349417,0.04745982214808464,0.0019550675060600042,0.004320167936384678
Red,TheMomentIKnew,2012.0,30520190,5180,sadness,0.024001743644475937,0.9681186676025391,0.0008677331497892737,0.002418437972664833,0.0006195698515512049,0.003973901271820068
TaylorSwift,TheOutside,2006.0,19223806,27930,joy,0.6233334541320801,0.3204486072063446,0.046554770320653915,0.005909800063818693,0.0017700070748105645,0.001983347348868847
SpeakNow,TheStoryOfUs,2010.0,130224865,169421,sadness,0.007653136271983385,0.9877479076385498,0.0009713071631267667,0.002281368477270007,0.0004316214472055435,0.0009146423544734716
Fearless,TheWayILovedYou,2008.0,60958450,35921,joy,0.9985877275466919,0.0003071103128604591,0.0006967024528421462,0.0001136802529799752,0.00016698046238161623,0.00012775893264915794
Folklore,thisismetrying,2020.0,240498214,310526,sadness,0.003185141598805785,0.9585467576980591,0.0009455757681280375,0.036305200308561325,0.00040065357461571693,0.000616688746958971
Reputation,ThisIsWhyWeCantHaveNiceThings,2017.0,145333253,168598,joy,0.7477218508720398,0.1167689710855484,0.0985242947936058,0.028473490849137306,0.004297836218029261,0.004213543143123388
1989,ThisLove,2014.0,87550177,64977,joy,0.6678661704063416,0.21209344267845154,0.02574269473552704,0.0599294975399971,0.007523715496063232,0.026844561100006104
TaylorSwift,TiedTogetherwithaSmile,2006.0,22038546,26902,joy,0.9671167135238647,0.022819606587290764,0.003653542837128043,0.004282682202756405,0.0008048882591538131,0.0013227056479081511
TaylorSwift,TimMcGraw,2006.0,94675276,104897,love,0.4214746952056885,0.015315243043005466,0.55340576171875,0.003927828278392553,0.00350572494789958,0.0023707058280706406
Evermore,tisthedamnseason,2020.0,167767327,191620,sadness,0.0004423439968377352,0.9982080459594727,0.00017082039266824722,0.0005173663957975805,0.00013772562670055777,0.0005237265722826123
Evermore,tolerateit,2020.0,169070686,235512,joy,0.988987147808075,0.001632498111575842,0.007263772189617157,0.0009276424534618855,0.0008841510280035436,0.00030489801429212093
Red,Treacherous,2012.0,52115126,10983,anger,0.08120141923427582,0.06491566449403763,0.018785608932375908,0.44811463356018066,0.0029362046625465155,0.3840464949607849
Midnights,VigilanteShit,2022.0,223808065,651082,anger,0.013938040472567081,0.10491537302732468,0.005590200424194336,0.8707152009010315,0.001087036682292819,0.0037540069315582514
Red,WeAreNeverEverGettingBackTogether,2012.0,153551600,443642,joy,0.9851540923118591,0.004464155528694391,0.005863124039024115,0.003409130498766899,0.00045150137157179415,0.0006579426117241383
1989,WelcometoNewYork,2014.0,186779741,197829,sadness,0.02370770461857319,0.9513338804244995,0.004827655851840973,0.009148555807769299,0.001131842378526926,0.009850366972386837
Fearless,WhiteHorse,2008.0,101063047,30921,joy,0.8371579647064209,0.125312939286232,0.005190977361053228,0.02304251119494438,0.001649667858146131,0.007645998150110245
1989,WildestDreams,2014.0,741965255,678851,joy,0.956307590007782,0.004524483811110258,0.03585539385676384,0.0014608444180339575,0.0011907315347343683,0.0006610205746255815
Evermore,willow,2020.0,588058567,489660,joy,0.8617216944694519,0.038063667714595795,0.005126795265823603,0.018329869955778122,0.027500927448272705,0.04925702512264252
Fearless,YouBelongWithMe,2008.0,512071522,427197,joy,0.9741392135620117,0.012493852525949478,0.0032300616148859262,0.005606104154139757,0.0008427782449871302,0.0036880108527839184
Lover,YouNeedToCalmDown,2019.0,730237796,384579,sadness,0.04794321581721306,0.9390619993209839,0.0017838729545474052,0.007171016652137041,0.0005568080814555287,0.0034831222146749496
Fearless,YoureNotSorry,2008.0,42359879,13382,joy,0.6993237137794495,0.28457266092300415,0.006215235218405724,0.006572442129254341,0.0011894040508195758,0.0021264657843858004
Midnights,YoureOnYourOwnKid,2022.0,303897773,1015485,joy,0.9931622743606567,0.0030910572968423367,0.002078896388411522,0.0008600784931331873,0.000406304287025705,0.00040135704330168664
